"Hospital Name","City","State"
"Brookwood Medical Center","Birmingham","Alabama"
"St. Vincent Birmingham","Birmingham","Alabama"
"Huntsville Hospital","Huntsville","Alabama"
"USA Children's and Women's Hospital","Mobile","Alabama"
"Baptist Medical Center East","Montgomery","Alabama"
"Baptist Medical Center South","Montgomery","Alabama"
"Children's Hospital at Providence, Alaska, The","Anchorage","Alaska"
"Flagstaff Medical Center","Flagstaff","Arizona"
"Abrazo Arrowhead Campus","Glendale","Arizona"
"Banner Thunderbird Medical Center","Glendale","Arizona"
"Cardon Children's Medical Center","Mesa","Arizona"
"Arizona Children's Cent  Maricopa Integrated Hlth.","Phoenix","Arizona"
"Banner Estrella Medical Center","Phoenix","Arizona"
"Banner University Medical Center Phoenix","Phoenix","Arizona"
"Phoenix Children's Hospital","Phoenix","Arizona"
"St. Joseph's Hospital and Medical Center","Phoenix","Arizona"
"HonorHealth Scottsdale Shea Medical Center","Scottsdale","Arizona"
"Banner University Medical Center - Tucson","Tucson","Arizona"
"Washington Regional Medical Center","Fayetteville","Arkansas"
"Mercy Hospital Fort Smith","Fort Smith","Arkansas"
"Willow Creek Womens' Hospital - NICU","Johnson","Arkansas"
"Arkansas Children's Hospital","Little Rock","Arkansas"
"University of Arkansas for Medical Sciences","Little Rock","Arkansas"
"Anaheim Regional Medical Center","Anaheim","California"
"KF - Orange County - Anaheim","Anaheim","California"
"St. Mary Medical Center - Apple Valley","Apple Valley","California"
"Methodist Hospital of Southern California","Arcadia","California"
"Bakersfield Memorial Hospital","Bakersfield","California"
"Kern Medical Center","Bakersfield","California"
"Mercy Southwest Hospital","Bakersfield","California"
"KF - Baldwin Park","Baldwin Park","California"
"Alta Bates Summit Medical Center","Berkeley","California"
"Providence St. Joseph Medical Center","Burbank","California"
"Mercy San Juan Medical Center","Carmichael","California"
"Scripps Mercy Hospital Chula Vista","Chula Vista","California"
"Sharp Chula Vista Medical Center","Chula Vista","California"
"Clovis Community Medical Center","Clovis","California"
"Arrowhead Regional Medical Center","Colton","California"
"KF - Downey","Downey","California"
"Rady Children's at Scripps Encinitas Memorial Hosp","Encinitas","California"
"Rady Children's at Palomar Health Downtown Campus","Escondido","California"
"Northbay Medical Center","Fairfield","California"
"KF - Fontana","Fontana","California"
"Fountain Valley Regional Hospital & Medical Center","Fountain Valley","California"
"Washington Hospital Healthcare System","Fremont ","California"
"San Joaquin General Hospital (SIGH)","French Camp","California"
"Community Regional Med. Ctr. Fresno","Fresno","California"
"Valley Children's Hospital at St. Agnes Medical Ce","Fresno","California"
"St. Jude Medical Center","Fullerton","California"
"Glendale Adventist Medical Center","Glendale","California"
"Glendale Memorial Hospital and Health Center","Glendale","California"
"Marin General Hospital","Greenbrae","California"
"KF - South Bay","Harbor City","California"
"Centinela Hospital Medical Center","Inglewood","California"
"KF - Irvine","Irvine","California"
"Rady Children's at Scripps La Jolla","La Jolla","California"
"Grossmont Hospital, Women's Health Center","La Mesa","California"
"Saddleback Memorial Medical Center","Laguna Hills","California"
"Antelope Valley Hospital","Lancaster","California"
"Loma Linda University Children's Hospital","Loma Linda","California"
"Miller Children's and Women's Hospital at Long Bea","Long Beach","California"
"St. Mary Medical Center","Long Beach","California"
"Adventist Health - White Memorial","Los Angeles","California"
"California Hospital Medical Center - Los Angeles","Los Angeles","California"
"Cedars-Sinai Medical Center (CSMC)","Los Angeles","California"
"Children's Hospital Los Angeles (CHLA)","Los Angeles","California"
"Good Samaritan Hospital, Los Angeles","Los Angeles","California"
"Hollywood Presbyterian Medical Center","Los Angeles","California"
"KF - Sunset/Los Angeles","Los Angeles","California"
"KF - West Los Angeles","Los Angeles","California"
"LAC/USC (Los Angeles County, University Southern C","Los Angeles","California"
"UCLA Mattel Children's Hospital at Ronald Reagan","Los Angeles","California"
"St. Francis Medical Center","Lynwood","California"
"Valley Children's Hospital","Madera","California"
"Providence Holy Cross Medical Center","Mission Hills","California"
"CHOC Children's at Mission Hospital","Mission Viejo","California"
"Doctors Medical Center of Modesto","Modesto","California"
"KP - Modesto","Modesto","California"
"Memorial Medical Center - Modesto","Modesto","California"
"Garfield Medical Center","Monterey Park","California"
"Riverside University Health System Medical Center","Moreno Valley","California"
"El Camino Hospital","Mountain View","California"
"Rady Children's at Rancho Springs Medical Center","Murrieta","California"
"Hoag Memorial Presbyterian Hospital","Newport Beach","California"
"Northridge Hospital Medical Center","Northridge","California"
"KP - Oakland","Oakland","California"
